food,latitude,longitude,categories
Han Dynasty,39.9483978526255,-75.1435844420196,Szechuan
Nan Zhou Hand Drawn Noodle House,39.9554005670665,-75.1569010985796,Chinese
Dim Sum Garden,39.955399,-75.156727,Dim Sum
Dan Dan,39.9502487182617,-75.167594909668,Chinese
Jane G's,39.9518328,-75.1733519,Szechuan
Sampan,39.9495313759,-75.1621570259495,Asian Fusion
Sang Kee Peking Duck House,39.95639,-75.15433,Dim Sum
Ting Wong Restaurant,39.954709455981,-75.1561456581204,Chinese
China Wok,40.0292167663574,-75.2234573364258,Chinese
Shan Chuan,40.00922,-75.19407,Chinese
Su Xing House,39.950215,-75.166346,Chinese
China House,39.9185859,-75.1836863,Chinese
Han Dynasty,39.9567105160991,-75.1971027810898,Szechuan
Spice 28,39.950352,-75.1615829,Szechuan
Han Dynasty,40.025452,-75.22393,Chinese
Shiao Lan Kung,39.95516,-75.15543,Chinese
Xinying Chinese Restaurant,39.983144,-75.114942,Chinese
Ho Sai Gai Restaurant,39.9552230834961,-75.1560592651367,Chinese
Chengdu Famous Food,39.9591840099014,-75.194573333305,Noodles
Dim Sum & Noodle,39.96204,-75.17222,Cantonese
Szechuan Hunan Chinese Restaurant,39.9483375549316,-75.1744995117188,Chinese
Szechuan Express,40.0026603757076,-75.2234785975396,Chinese
Nine Ting,39.955083683693,-75.1552917273078,Korean
Golden Chopstick Chinese Restaurant,39.963077709002,-75.168027452865,Chinese
Hidden Gem Cafe,39.95424,-75.15638,Hong Kong Style Cafe
Xi'an Sizzling Woks,39.9534173637242,-75.1549591086789,Chinese
Buddakan,39.9489186,-75.1471667,Asian Fusion
E Mei Restaurant,39.95373,-75.15539,Szechuan
Heung Fa Chun Sweet House,39.9539057451979,-75.1562611059858,Chinese
Empress Garden,39.9538347367399,-75.1562767518654,Chinese
Dump-N-Roll,39.9547309875488,-75.2053680419922,Food Trucks
Golden Empress Garden,39.941938,-75.152868,Chinese
Sang Kee Asian Bistro,40.002175,-75.277422,Asian Fusion
Mandarin House,39.9689697588625,-75.1346291263199,Chinese
Mandarin Palace,39.9518886,-75.1718034,Chinese
Sang Kee Noodle House,39.9548759224678,-75.193932521166,Dim Sum
Beijing Restaurant,39.951003703315,-75.198065612094,Chinese
Spicy Memory,39.9489468574986,-75.1592379435897,Chinese
Andorra Ping Pong,40.0623358991561,-75.237487776724,Chinese
Tom's Dim Sum,39.9531124488515,-75.1579021743163,Dim Sum
Morimoto,39.9496652298936,-75.1532727008282,Japanese
Dim Sum House,39.9557715,-75.2016544,Dim Sum
Chili Szechuan,39.9564499,-75.20675,Chinese
Fortune Chinese Restaurant,39.944506,-75.172835,Chinese
Square on Square,39.9521019,-75.172133,Chinese
China House II,39.9107002,-75.2318729,Chinese
Best China Inn,39.9541258,-75.2112744,Chinese
I Tea,39.96306,-75.164148,Chinese
Yu Hsiang Garden,40.0673479,-75.1969948,Chinese
David's Mai Lai Wah,39.95573,-75.15622,Chinese
